"Omakuva, en face I",Ateneum,2005,Yrjö ja Nanny Kauniston kokoelma
Nimetön,Kiasma,1998,Kouri-kokoelma
"Luonnoskirjan sivu, Kissa; Kaneja",Ateneum,2011,Ateneumin ystävien kokoelma
Punatäpläinen omakuva,Ateneum,1967,Gösta ja Bertha Stenmanin lahjoituskokoelma
"Luonnoskirja I, lapsuuden ajalta. Ritbok för Helena Sofia Schjerfbeck 1872.",Ateneum,2011,Ateneumin ystävien kokoelma
Luonnos maalaukseen Haavoittunut soturi hangella,Ateneum,2011,Ateneumin ystävien kokoelma
"Luonnoskirja III, nuoruusvuosilta",Ateneum,2011,Ateneumin ystävien kokoelma
luonnos,Ateneum,no date,Tuomo Sepon kokoelma
Regulus,Sinebrychoffin taidemuseo,1900,Antellin kokoelmat
Regulus,Sinebrychoffin taidemuseo,1900,Antellin kokoelmat; Collanin kokoelma
nimetön,Kiasma,1999,Maj-Lis Pitkäsen kokoelma
Näkymä Yushima Tenjin pyhäköltä Shinobazun lammelle. Sarjasta Edon sata kuuluisaa näkymää.,Ateneum,1908,Antellin kokoelmat
Paimenia ja karjaa raunioiden suojassa,Sinebrychoffin taidemuseo,1900,Antellin kokoelmat
Paimenia ja karjaa raunioiden suojassa,Sinebrychoffin taidemuseo,1900,Antellin kokoelmat; Collanin kokoelma
Arkkienkeli Gabriel (93) / Pyhimyskalenteri (15 kuvaa 124 levyn ja 490 kuvan sarjasta),Sinebrychoffin taidemuseo,1900,Antellin kokoelmat
Arkkienkeli Gabriel (93) / Pyhimyskalenteri (15 kuvaa 124 levyn ja 490 kuvan sarjasta),Sinebrychoffin taidemuseo,1900,Antellin kokoelmat; Collanin kokoelma
Ranskalainen työhevosvaljakko,Ateneum,1916,Hovingin kokoelma
Perhe ikkunan ääressä,Sinebrychoffin taidemuseo,1900,Antellin kokoelmat
Perhe ikkunan ääressä,Sinebrychoffin taidemuseo,1900,Antellin kokoelmat; Collanin kokoelma
Omakuva,Ateneum,2011,Mukka
Katu Skibottenissa,Ateneum,2005,Yrjö ja Nanny Kauniston kokoelma
Musiikkitirehtööri Martin Wegeliuksen muotokuva,Ateneum,1907,Antellin kokoelmat
Akvatinta II,Kiasma,2003,Skopin kokoelma
lanttu,Ateneum,no date,Tuomo Sepon kokoelma
"Nuori leski. Kuvitusta La Fontainen Faabeleihin, sarja nro 74",Ateneum,2001,Ester ja Jalo Sihtolan Taidesäätiön lahjoituskokoelma
Leijonanmetsästys,Sinebrychoffin taidemuseo,1900,Antellin kokoelmat
