Aamu,Kiasma,1981
"Omakuva, en face I",Ateneum,2005
Yö,Kiasma,1981
Ylösnousemus,Kiasma,2010
Nimetön,Kiasma,1998
"Luonnoskirjan sivu, Kissa; Kaneja",Ateneum,2011
Punatäpläinen omakuva,Ateneum,1967
"Luonnoskirja I, lapsuuden ajalta. Ritbok för Helena Sofia Schjerfbeck 1872.",Ateneum,2011
Luonnos maalaukseen Haavoittunut soturi hangella,Ateneum,2011
"Luonnoskirja III, nuoruusvuosilta",Ateneum,2011
"Sinisorsa (heinäsorsa), koiras",Ateneum,1906
Saimin kihlajaismuotokuva,Ateneum,2012
"Boccianpelaajat 3, polvistuva nuorukainen",Ateneum,1954
L. Bardin muotokuva,Ateneum,1910
"Luonnos Tampereen tuomiokirkon keskiholvia varten, käärme ja siipi-aiheet",Ateneum,1987
Heijastus,Kiasma,2015
Regulus,Sinebrychoffin taidemuseo,1900
nimetön,Kiasma,1999
Näkymä Yushima Tenjin pyhäköltä Shinobazun lammelle. Sarjasta Edon sata kuuluisaa näkymää.,Ateneum,1908
Paimenia ja karjaa raunioiden suojassa,Sinebrychoffin taidemuseo,1900
Suoja,Kiasma,2016
Arkkienkeli Gabriel (93) / Pyhimyskalenteri (15 kuvaa 124 levyn ja 490 kuvan sarjasta),Sinebrychoffin taidemuseo,1900
Ranskalainen työhevosvaljakko,Ateneum,1916
"Ateneum-lehden kansiehdotus, julkaisija Wentzel Hagelstam (takakannen kuva)",Ateneum,1920
Perhe ikkunan ääressä,Sinebrychoffin taidemuseo,1900
Pallas Ath. ja Medusanpää,Ateneum,1989
Omakuva,Ateneum,2011
Katu Skibottenissa,Ateneum,2005
Kaksi vuohta vastakkain,Ateneum,1989
Paloniemen tila Lohjalla,Ateneum,1890
Piru on kuollut,Ateneum,1955
Peili-sarjasta I,Kiasma,2005
Musiikkitirehtööri Martin Wegeliuksen muotokuva,Ateneum,1907
Akvatinta II,Kiasma,2003
Kaksi kirkkoa,Ateneum,1913
Väsynyt paimen,Sinebrychoffin taidemuseo,1889
Taiteilija ateljeessaan,Sinebrychoffin taidemuseo,1999
Madeira I,Ateneum,1973
"Nuori leski. Kuvitusta La Fontainen Faabeleihin, sarja nro 74",Ateneum,2001
Lapsiharjoitelmia,Ateneum,1948
"Jumalanpalvelus saaristossa, sommitteluluonnos",Ateneum,1935
Leijonanmetsästys,Sinebrychoffin taidemuseo,1900
Keittiöaskareissa oleva nainen,Ateneum,1948
"""Ajelin karvat tänä aamuna""",Kiasma,2007
Efraim,Ateneum,1994
"Pieni koski ja sen partaalla pieni hirsirakennus ; Männynlatvoja, laveeraus (kaksipuolinen teos)",Ateneum,1890
nimetön,Kiasma,1999
Eroosio,Kiasma,2003
nimetön ; luonnos,Kiasma,1999
Muna II,Ateneum,2012
Markus Antoniuksen kuolema,Sinebrychoffin taidemuseo,1919
N. Roerichin mitali,Ateneum,1959
Kymintehdas,Ateneum,1987
"Luonnos Taiteilijaseuran vuosijuhlassa esitettyä kuvaelmaa varten, Konstnärens dröm",Ateneum,1938
nimetön ; luonnos,Kiasma,1999
Saari,Kiasma,2003
"Salkusta ""Hetkiä menneisyydestä"": Ennen myrskyä - Marie Antoinette",Ateneum,2003
Tervun kartano Kurkijoella,Ateneum,1875
Orava,Ateneum,2008
L'Arrotino - Veitsenteroittaja,Sinebrychoffin taidemuseo,1881
Juhlaruno,Ateneum,1987
"Luonnos Väinämöisen soitto -aiheeseen, metsästäjä koirineen",Ateneum,1938
luonnos ; nimetön,Kiasma,1999
Pääkallo ja käärmepullo,Ateneum,1987
Nainen ja kukkaruukku,Ateneum,2001
Häkki,Ateneum,2003
"""Nummisuutarien kuvitusta, kuva siv. 128, Lähtö Hämeenlinnasta",Ateneum,1935
Myrsky nousee,Ateneum,2001
Mies yllään pitkä päällystakki ja turkislakki,Ateneum,1899
Selin seisova alaston miesmalli,Ateneum,1910
Koristeellinen luonnos (henkilöryhmä),Ateneum,1954
Apostoli Matteus?,Sinebrychoffin taidemuseo,1900
Kosmisia valoja ja varjoja,Kiasma,1984
"Exlibris Axel Gallén, luonnos",Ateneum,1999
"Luonnos raamatullisesta aiheesta, mm. Jeesus",Ateneum,1935
Kiinanmuurilla,Ateneum,1994
Pelikiihkon vallassa,Ateneum,1951
Yllätys II (kuva IV),Ateneum,2008
"Kirkkoreki, harjoitelma",Ateneum,1950
Järvimaisema,Ateneum,1890
Margareta de Barlemont,Sinebrychoffin taidemuseo,1900
"Katajanokka, luonnos",Ateneum,1875
Omakuva,Kiasma,1999
Väinämöisen venematka,Ateneum,1911
Mervi,Kiasma,2003
Mallin ateria II,Ateneum,1987
Vanha kirkko IV,Ateneum,2013
Exlibris Oskar Rewell I,Ateneum,1999
Karjaa vedessä,Sinebrychoffin taidemuseo,1900
Omakuva,Ateneum,1934
"Pikkuharjoitelmia, mm. Pifferari, kopio B. Reinholdin mukaan",Ateneum,1935
Luonnoskirja,Ateneum,1922
Fantasia,Ateneum,1941
Kuningas Fjalar istumassa valtaistuimellaan kääntyneenä katsojaan päin. Vasemmalla ikkunan vieressä seisoo Oihonna?,Ateneum,1913
Dido surmaa itsensä,Sinebrychoffin taidemuseo,1919
"Näyttelijät Ichikawa Danjuro VIII, Arashi Kichisaburo ja Onoe Baiko näytelmässä Kanadehon chusingura (Uskolliset vasallit)",Ateneum,1908
Keinutuolissa,Ateneum,1987
Naisen kasvot ; kissoja,Ateneum,1937
Aitta Kurbölen rannalla,Ateneum,1958
Kamikaze,Ateneum,1966
Rantamaisema rakennuksineen vedestä päin nähtynä,Ateneum,1874
Baletti,Ateneum,1979
Mme de Cride,Ateneum,1970
Pan ja Syrinx ?,Ateneum,1989
nimetön,Ateneum,1997
Metsästäjiä nuotiolla,Ateneum,1911
Lepäävä perhe,Sinebrychoffin taidemuseo,1900
Puun latva,Ateneum,1998
Ruovesi -maisema,Ateneum,1896
Silinterihattuinen mies,Ateneum,1953
Grafiikan salkku,Kiasma,1994
Talvimaisema,Kiasma,1999
"Pyhä lehmä, Jaipur, Romanimatkat - Intia",Kiasma,2010
Alaston istuva poika,Ateneum,2001
Seurue ; Luonnos enkelistä (kaksipuolinen teos),Ateneum,1938
?,Sinebrychoffin taidemuseo,1919
Äiti,Kiasma,1999
Amor ja Psyke,Ateneum,1923
"Roomalainen eukko, puolivartalokuva, luonnos",Ateneum,1886
Nainen kahvilapöydän ääressä,Ateneum,1951
Matkakertomus,Kiasma,1981
Posetiivinsoittaja,Ateneum,1985
Morsiamen laulu,Ateneum,1893
Hattupäinen tyttö,Ateneum,1985
"Rakastunut leijona. Kuvitusta La Fontainen Faabeleihin, sarja nro 74",Ateneum,2001
"Näköala kohti Erkrathin kirkkoa, harjoitelma",Ateneum,1890
Sanomalehdenlukijat,Ateneum,1937
"Sisäkuva Finströmin kirkosta, sivulaiva ja penkkirivi",Ateneum,1874
"""Lopussa on naru""",Kiasma,1999
Säveltäjä Toivo Kuulan muotokuvanaamio,Ateneum,1911
"Linnanrauniot, portaaliholvi",Ateneum,1890
Harjoitelma,Ateneum,2001
Luonnos kolmesta pojasta takiloimassa leikkilaivaa rannalla,Ateneum,1919
"Harjoitelmia, nukkuva kissa",Ateneum,1937
?,Sinebrychoffin taidemuseo,1919
Kylä kanavan rannalla,Sinebrychoffin taidemuseo,1900
Kuvitusta Sven Nilssonin teokseen Illuminerade figurer till Skandinaviens fauna,Ateneum,1959
Tappelevia kettuja,Ateneum,1928
luonnoslehtiö,Kiasma,1999
Muotokuvaluonnos,Ateneum,1953
Nainen parvekkeella,Ateneum,2015
Pienissä laatikoissa,Kiasma,1997
"Niittomiehiä pellolla, harjoitelma Zdravnevosta Vitebskistä",Ateneum,1930
Luonnoskirja,Ateneum,1926
Tornio Alatornion kirkon tornista,Ateneum,1875
Näyttelijät Ichikawa Kodanji IV ja Iwai Kumesaburo näytelmässä Nani Takashima ryuta jitsuroku (Totuus kuuluisasta palloleikistä),Ateneum,1908
Luonnos maalaukseen Poltettu kylä,Ateneum,1919
Iltakävely,Ateneum,1999
Tupa,Ateneum,1987
Näyttelijä,Kiasma,2015
nimetön,Kiasma,1999
Akkunan ääressä,Ateneum,2001
Maalaus,Kiasma,1986
no title,Kiasma,2012
nimetön,Kiasma,1999
Window I,Kiasma,1974
Karkea jäljennös Ylimystö-sarjasta n.1624,Sinebrychoffin taidemuseo,1919
Hauta,Ateneum,1955
Kaksi poikaa,Ateneum,1989
Istuva tyttö,Ateneum,1937
Keskeissommitelma,Kiasma,1999
Originaalipiirustus Vänrikki Stoolin tarinain kuvitukseen (ruots. painos),Ateneum,1903
nimetön ; luonnos,Kiasma,1999
"Fécondité, Äiti ja lapsi",Ateneum,1913
Merimaisema,Kiasma,1990
Riekkoja,Ateneum,2003
Vinosti takaapäin kuvattu nuorukainen ja tyttö pitämässä toisiaan kädestä,Ateneum,1913
Makaava lehmä,Sinebrychoffin taidemuseo,1900
Ateria,Ateneum,1919
nimetön,Kiasma,1999
Musisoivia talonpoikia kapakassa,Sinebrychoffin taidemuseo,1900
Kalastaja,Ateneum,1936
?,Sinebrychoffin taidemuseo,1919
Julisteluonnos,Ateneum,1953
Laika-koira opastaa taiteen avaruuteen: Moderni kuvanveisto,Kiasma,1993
Petäjä torpan edessä,Ateneum,1907
Vanha kello,Kiasma,1996
Parrakkaan miehen rintakuva,Ateneum,1989
Muotokuvaluonnos,Ateneum,1953
Kolme venekuntaa,Ateneum,1989
Harvennettua metsää,Ateneum,1926
Luurankoviulu,Kiasma,1999
Bela Boris,Kiasma,2003
Äiti pesee lastaan pesusienellä tytön katsellessa äidin olan yli,Ateneum,1989
